64 1
64 3
64 5
64 11
64 12
64 16
64 17
64 19
64 22
64 23
64 24
64 25
64 26
64 27
64 28
64 29
64 30
64 31
64 34
64 40
64 41
64 45
64 49
64 51
64 52
64 56
64 57
64 61
64 62
64 86
65 1
65 8
65 11
65 12
65 14
65 16
65 17
65 22
65 23
65 28
65 29
65 31
65 33
65 34
65 36
65 40
65 41
65 42
65 43
65 45
65 51
65 52
65 56
65 59
66 1
66 2
66 3
66 6
66 12
66 17
66 19
66 23
66 26
66 28
66 40
66 45
66 47
66 51
66 52
66 56
66 59
66 62
67 1
67 3
67 4
67 7
67 10
67 11
67 12
67 14
67 16
67 17
67 19
67 20
67 22
67 23
67 25
67 27
67 28
67 29
67 30
67 31
67 33
67 34
67 38
67 39
67 40
67 41
67 44
67 45
67 47
67 49
67 51
67 52
67 53
67 56
67 57
67 62
68 1
68 2
68 86
69 1
69 3
69 5
69 6
69 7
69 11
69 12
69 14
69 16
69 17
69 19
69 20
69 22
69 23
69 24
69 25
69 26
69 27
69 28
69 30
69 31
69 32
69 34
69 36
69 40
69 41
69 44
69 45
69 47
69 50
69 51
69 52
69 53
69 59
69 62
70 1
70 5
70 12
70 13
70 16
70 17
70 19
70 22
70 23
70 26
70 29
70 30
70 31
70 33
70 34
70 41
70 43
70 45
70 47
70 49
70 51
70 52
70 56
71 1
71 3
71 11
71 12
71 13
71 16
71 17
71 19
71 22
71 23
71 28
71 29
71 30
71 31
71 32
71 33
71 34
71 36
71 39
71 40
71 43
71 44
71 45
71 47
71 51
71 52
71 56
72 1
73 1
73 5
73 12
73 15
73 16
73 17
73 19
73 31
73 34
73 40
73 41
73 44
73 45
73 47
73 49
73 51
74 1
74 12
74 16
74 17
74 19
74 23
74 28
74 29
74 30
74 31
74 32
74 40
74 45
74 47
74 51
74 52
74 54
74 56
74 58
74 62
75 1
75 16
75 17
75 19
75 23
75 28
75 29
75 30
75 31
75 34
75 40
75 46
75 51
75 52
75 54
75 56
75 62
76 1
76 5
76 11
76 12
76 16
76 17
76 23
76 28
76 31
76 33
76 34
76 40
76 43
76 45
76 51
76 52
76 56
77 1
78 1
78 5
78 6
78 11
78 12
78 16
78 17
78 19
78 22
78 23
78 25
78 26
78 27
78 28
78 31
78 34
78 36
78 40
78 44
78 45
78 47
78 51
78 52
78 55
78 59
78 60
78 62
79 1
79 12
79 16
79 17
79 19
79 21
79 23
79 27
79 28
79 31
79 33
79 34
79 40
79 41
79 45
79 51
79 52
80 1
80 11
80 12
80 16
80 17
80 25
80 31
80 32
80 34
80 40
80 41
81 1
81 5
81 6
81 12
81 16
81 17
81 23
81 28
81 31
81 40
81 47
81 51
82 1
82 12
82 17
82 23
82 26
82 50
83 1
83 7
83 11
83 12
83 16
83 17
83 23
83 28
83 29
83 31
83 34
83 40
83 45
83 47
83 51
83 52
83 59
84 1
84 3
84 6
84 11
84 12
84 14
84 16
84 17
84 19
84 23
84 25
84 26
84 27
84 28
84 29
84 30
84 31
84 34
84 40
84 41
84 44
84 45
84 50
84 51
84 52
84 53
84 56
84 59
84 62
85 1
85 2
85 71
85 73
85 74
85 76
85 78
85 96
85 105
86 1
86 11
86 12
86 16
86 17
86 19
86 23
86 24
86 28
86 30
86 31
86 32
86 33
86 34
86 36
86 40
86 41
86 45
86 47
86 49
86 50
86 51
86 52
86 53
86 57
87 1
87 12
87 16
87 17
87 23
87 27
87 31
87 33
87 37
87 40
87 41
87 55
87 56
88 1
88 3
88 6
88 11
88 12
88 15
88 16
88 17
88 23
88 28
88 29
88 31
88 33
88 34
88 36
88 40
88 41
88 45
88 51
89 1
89 3
89 5
89 6
89 12
89 13
89 15
89 16
89 17
89 19
89 22
89 23
89 27
89 28
89 30
89 31
89 33
89 34
89 40
89 43
89 45
89 47
89 51
89 52
89 54
89 56
89 57
89 62
90 1
90 3
90 4
90 6
90 11
90 12
90 14
90 15
90 16
90 17
90 19
90 22
90 26
90 28
90 29
90 30
90 31
90 33
90 34
90 40
90 43
90 44
90 45
90 47
90 51
90 52
90 56
90 60
90 63
91 74
91 78
92 1
92 2
92 71
92 76
92 78
92 96
92 104
93 1
94 1
94 6
94 11
94 12
94 14
94 15
94 16
94 17
94 22
94 29
94 31
94 34
94 36
94 40
94 43
94 45
94 50
94 51
94 52
94 61
95 1
95 3
95 5
95 11
95 12
95 13
95 16
95 17
95 19
95 22
95 28
95 29
95 30
95 31
95 33
95 34
95 40
95 43
95 45
95 47
95 51
95 52
95 56
96 1
96 3
96 5
96 6
96 12
96 15
96 16
96 17
96 19
96 22
96 23
96 24
96 29
96 30
96 31
96 33
96 34
96 40
96 41
96 45
96 52
96 54
97 1
97 2
97 3
97 6
97 11
97 12
97 16
97 17
97 22
97 23
97 25
97 27
97 29
97 30
97 31
97 34
