22	2
2	34
34	22
39	34
22	12
12	30
30	26
26	39
12	50
50	26
26	18
18	14
14	3
3	19
26	41
41	34
49	50
41	20
20	32
32	42
22	49
49	30
41	4
41	24
24	1
1	21
41	48
48	1
1	29
50	13
13	41
1	8
1	15
30	24
30	48
30	13
13	18
10	50
1	9
20	43
43	5
30	10
10	30
50	27
27	26
50	47
47	36
1	45
50	25
25	28
28	6
1	44
50	49
50	31
31	1
30	31
31	44
22	47
47	30
24	40
40	11
20	24
50	10
50	24
40	33
34	50
50	36
50	12
50	48
1	16
1	7
22	10
30	49
30	47
37	50
50	35
46	41
3	50
41	3
27	22
22	35
23	50
6	22
47	46
22	26
3	22
49	13
47	13
3	24
3	31
5	37
37	17
17	37
17	50
37	22
20	3
3	42
12	37
37	26
38	50
50	34
