n,m,k0,initial_nodes,iteration,reciprocal_threshold,df,entropy,normalized_entropy,root_is_leader,filename
20,3,1,1,3,0.16666666666666666,0.4974703740807226,1.5693175989401151,0.9043680540616789,False,prices_model_n20_m3_k01_initial_nodes1_p0.17_iteration3
20,3,1,1,4,0.16666666666666666,0.5489458860028448,1.564537214269998,0.8888828100339856,False,prices_model_n20_m3_k01_initial_nodes1_p0.17_iteration4
20,3,1,1,5,0.16666666666666666,0.5191286004489859,1.5690350782392786,0.9051021939067636,False,prices_model_n20_m3_k01_initial_nodes1_p0.17_iteration5
20,3,1,1,6,0.16666666666666666,0.544365292363491,1.5502994911390586,0.8821057200575108,False,prices_model_n20_m3_k01_initial_nodes1_p0.17_iteration6
20,3,1,1,7,0.16666666666666666,0.5349651262808193,1.5682400214792376,0.8904094276428041,False,prices_model_n20_m3_k01_initial_nodes1_p0.17_iteration7
20,3,1,1,8,0.16666666666666666,0.5373247443289108,1.5822696370893803,0.8961008246570381,False,prices_model_n20_m3_k01_initial_nodes1_p0.17_iteration8
20,3,1,1,9,0.16666666666666666,0.5502924778885976,1.5614187152989079,0.8790991989208033,False,prices_model_n20_m3_k01_initial_nodes1_p0.17_iteration9
20,3,1,1,0,0.20833333333333331,0.7084882602669395,1.3827850808409932,0.7686475704700185,False,prices_model_n20_m3_k01_initial_nodes1_p0.21_iteration0
20,3,1,1,1,0.20833333333333331,0.6910426460719068,1.3858214590829838,0.7814936713312803,False,prices_model_n20_m3_k01_initial_nodes1_p0.21_iteration1
20,3,1,1,2,0.20833333333333331,0.687218988507477,1.3789904864207603,0.7729951362480381,False,prices_model_n20_m3_k01_initial_nodes1_p0.21_iteration2
20,3,1,1,3,0.20833333333333331,0.6490891976720047,1.386291816874449,0.803373571834752,False,prices_model_n20_m3_k01_initial_nodes1_p0.21_iteration3
20,3,1,1,4,0.20833333333333331,0.6856346208679478,1.3850768174512122,0.7838497522444038,False,prices_model_n20_m3_k01_initial_nodes1_p0.21_iteration4
20,3,1,1,5,0.20833333333333331,0.6772387708129147,1.3819878996376518,0.7831816649852044,False,prices_model_n20_m3_k01_initial_nodes1_p0.21_iteration5
20,3,1,1,6,0.20833333333333331,0.7218911002101859,1.3415438165162799,0.7473250212548972,False,prices_model_n20_m3_k01_initial_nodes1_p0.21_iteration6
20,3,1,1,7,0.20833333333333331,0.6622330239588712,1.3861979690701505,0.7994339130779615,False,prices_model_n20_m3_k01_initial_nodes1_p0.21_iteration7
20,3,1,1,8,0.20833333333333331,0.65533145540894,1.3845148843830752,0.7965709342509945,False,prices_model_n20_m3_k01_initial_nodes1_p0.21_iteration8
20,3,1,1,9,0.20833333333333331,0.7293337339863165,1.3857835317518192,0.760512625022862,False,prices_model_n20_m3_k01_initial_nodes1_p0.21_iteration9
